🌙月光宝盒,#genre#
经典功夫台,https://cn-sdqd-cu-01-18.bilivideo.com/live-bvc/701749/live_179302204_68184269/index.m3u8
凤凰中文台,mitv://generationnexxxt.com:19806/98826034592245d18d0a7f9e29f1398f
凤凰资讯台,mitv://generationnexxxt.com:19806/c25ff00d1f62473190819062e87bb70d
凤凰香港台,mitv://generationnexxxt.com:19806/eba2c91eb6c54e51b78036d9412a355c
翡翠台,mitv://generationnexxxt.com:19806/6986050f9a7a48fc8df8e2637d10b610
千禧经典台,mitv://generationnexxxt.com:19806/82237250e487405d87030dd69457ddd8
民视,mitv://generationnexxxt.com:19806/412a0c47c1014e7d85da7d2d38631eb7
台视,mitv://generationnexxxt.com:19806/d12a80dfeb36488db100bbca6c6378e1
中视,mitv://generationnexxxt.com:19806/38fd33fc8b9f45849cdf38d21665d66f
华视,mitv://generationnexxxt.com:19806/36d7338b225248c2b1e321f9966cf104
公视,mitv://generationnexxxt.com:19806/bdabc8d4fb5d453fbeac7932d22ee2e9

壹电视新闻台,mitv://generationnexxxt.com:19806/53313e17abe440299d05b00b8a3d91ba
年代新闻,mitv://generationnexxxt.com:19806/c16976cf555b46b592f639c0b3d53a90
东森新闻台,mitv://generationnexxxt.com:19806/8bc09abe58e944ca97b838dbce2b4455
中天新闻台,mitv://generationnexxxt.com:19806/26ab4a8f123c4a3292451f072035a681
民视新闻台,mitv://generationnexxxt.com:19806/5bb97363edbf4fdd95c408367a32c0f2
三立新闻台,mitv://generationnexxxt.com:19806/876b79bacf0e40adbf0e4134db178c1d
TVBS新闻台,mitv://generationnexxxt.com:19806/ccaccfce17074a428d1578a82c65b6b8
TVBS,mitv://generationnexxxt.com:19806/1b811ad38b0f47a393d0a76155b2fd44
东森财经新闻台,mitv://generationnexxxt.com:19806/3c7772c47dc6438a9f14cd6b6ac66d80
非凡新闻台,mitv://generationnexxxt.com:19806/d1472f8b243542f29e2c00221691f99b
卫视电影台,mitv://generationnexxxt.com:19806/1dfc2d3ccab34581b745d44173f73a68
东森电影台,mitv://generationnexxxt.com:19806/8578aae119724436acb22453d7ae6c9e
纬来电影台,mitv://generationnexxxt.com:19806/1f2768819be640b187b0de9d628ba29e
龙祥电影,mitv://generationnexxxt.com:19806/02356cbc048c48fdabe13c27c4681255
HBO,mitv://generationnexxxt.com:19806/b79befcb39624435a90a4baa01621a22
东森洋片台,mitv://generationnexxxt.com:19806/07bbe3a40fd648538146aaeff04c1646
AXN,mitv://generationnexxxt.com:19806/1e1fb5802779465a9948e3a873933a3d
好莱坞电影台,mitv://generationnexxxt.com:19806/296b827164ef43eb86e05259d74ac25f
CINEMAX,mitv://generationnexxxt.com:19806/62e7d5ee3a9949b59ec779f14d81a5f1
HBO强档巨献,mitv://generationnexxxt.com:19806/78d2e408309d4ace81dd7235c2327767
HBO原创巨献,mitv://generationnexxxt.com:19806/d16248e49e28441b97e940971121d0c0
美亚电影台HD,mitv://generationnexxxt.com:19806/f1d93f4dcdb042a69134be2e3ae8abab
