卫视,#genre#
港台电视31,http://183.57.250.113:8168/stream/channelid/1283289573?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
港台电视32,http://183.57.250.113:8168/stream/channelid/1650237186?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
中央电视台综合,http://183.57.250.113:8168/stream/channelid/1242937310?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
中国环球电视网纪录,http://183.57.250.113:8168/stream/channelid/1952484519?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
香港国际财经台,http://183.57.250.113:8168/stream/channelid/809191528?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
HOY TV,http://183.57.250.113:8168/stream/channelid/2067111921?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
翡翠台,http://183.57.250.113:8168/stream/channelid/1962992172?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
J2,http://183.57.250.113:8168/stream/channelid/1878105198?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
无线新闻台,http://183.57.250.113:8168/stream/channelid/1281224658?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
明珠台,http://183.57.250.113:8168/stream/channelid/620399733?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
无线财经·,http://183.57.250.113:8168/stream/channelid/1474066423?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
ViuTVsix,http://183.57.250.113:8168/stream/channelid/151914314?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
ViuTV,http://183.57.250.113:8168/stream/channelid/1548607818?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
HOY资讯台,http://183.57.250.113:8168/stream/channelid/2006335718?auth=PLsVcFebPmCEKCgDDFwyPX-JGl9U&profile=pass
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
凤凰卫视中文,http://t.junzhewenming.top:8888/udp/233.50.200.191:5140
凤凰卫视资讯,http://t.junzhewenming.top:8888/udp/233.50.200.192:5140
CCTV1,http://t.junzhewenming.top:8888/udp/233.50.201.118:5140
CCTV2,http://t.junzhewenming.top:8888/udp/233.50.201.119:5140
CCTV3,http://t.junzhewenming.top:8888/udp/233.50.201.196:5140
CCTV4,http://t.junzhewenming.top:8888/udp/233.50.201.4:5140
CCTV5,http://t.junzhewenming.top:8888/udp/233.50.201.197:5140
CCTV5+,http://t.junzhewenming.top:8888/udp/233.50.201.220:5140
CCTV6,http://t.junzhewenming.top:8888/udp/233.50.201.198:5140
CCTV7,http://t.junzhewenming.top:8888/udp/233.50.201.120:5140
CCTV8,http://t.junzhewenming.top:8888/udp/233.50.201.199:5140
CCTV9,http://t.junzhewenming.top:8888/udp/233.50.201.121:5140
CCTV10,http://t.junzhewenming.top:8888/udp/233.50.201.122:5140
CCTV11,http://t.junzhewenming.top:8888/udp/233.50.201.11:5140
CCTV12,http://t.junzhewenming.top:8888/udp/233.50.201.123:5140
CCTV13,http://t.junzhewenming.top:8888/udp/233.50.201.246:5140
CCTV14,http://t.junzhewenming.top:8888/udp/233.50.201.124:5140
CCTV15,http://t.junzhewenming.top:8888/udp/233.50.201.15:5140
CCTV16 4k,http://t.junzhewenming.top:8888/udp/233.50.201.63:5140
CCTV16,http://t.junzhewenming.top:8888/udp/233.50.201.192:5140
CCTV17,http://t.junzhewenming.top:8888/udp/233.50.201.35:5140
浙江卫视,http://t.junzhewenming.top:8888/udp/233.50.201.100:5140
深圳卫视,http://t.junzhewenming.top:8888/udp/233.50.201.101:5140
广东卫视,http://t.junzhewenming.top:8888/udp/233.50.201.102:5140
湖南卫视,http://t.junzhewenming.top:8888/udp/233.50.201.103:5140
天津卫视,http://t.junzhewenming.top:8888/udp/233.50.201.104:5140
山东卫视,http://t.junzhewenming.top:8888/udp/233.50.201.105:5140
江苏卫视,http://t.junzhewenming.top:8888/udp/233.50.201.106:5140
北京卫视,http://t.junzhewenming.top:8888/udp/233.50.201.107:5140
四川卫视,http://t.junzhewenming.top:8888/udp/233.50.201.139:5140
河北卫视,http://t.junzhewenming.top:8888/udp/233.50.201.140:5140
辽宁卫视,http://t.junzhewenming.top:8888/udp/233.50.201.141:5140
贵州卫视,http://t.junzhewenming.top:8888/udp/233.50.201.142:5140
重庆卫视,http://t.junzhewenming.top:8888/udp/233.50.201.143:5140
河南卫视,http://t.junzhewenming.top:8888/udp/233.50.201.144:5140
江西卫视,http://t.junzhewenming.top:8888/udp/233.50.201.145:5140
东南卫视,http://t.junzhewenming.top:8888/udp/233.50.201.146:5140
安徽卫视,http://t.junzhewenming.top:8888/udp/233.50.201.113:5140
湖北卫视,http://t.junzhewenming.top:8888/udp/233.50.201.114:5140
黑龙江卫视,http://t.junzhewenming.top:8888/udp/233.50.201.115:5140
东方卫视,http://t.junzhewenming.top:8888/udp/233.50.201.125:5140
内蒙古卫视,http://t.junzhewenming.top:8888/udp/233.50.201.148:5140
甘肃卫视,http://t.junzhewenming.top:8888/udp/233.50.201.149:5140
海南卫视,http://t.junzhewenming.top:8888/udp/233.50.201.55:5140
青海卫视,http://t.junzhewenming.top:8888/udp/233.50.201.65:5140
西藏卫视,http://t.junzhewenming.top:8888/udp/233.50.201.70:5140
陕西卫视,http://t.junzhewenming.top:8888/udp/233.50.201.59:5140
兵团卫视,http://t.junzhewenming.top:8888/udp/233.50.201.72:5140
山西卫视,http://t.junzhewenming.top:8888/udp/233.50.201.51:5140
宁夏卫视,http://t.junzhewenming.top:8888/udp/233.50.201.57:5140
广西卫视,http://t.junzhewenming.top:8888/udp/233.50.201.49:5140
云南卫视,http://t.junzhewenming.top:8888/udp/233.50.201.46:5140
吉林卫视,http://t.junzhewenming.top:8888/udp/233.50.201.48:5140
金鹰卡通,http://t.junzhewenming.top:8888/udp/233.50.201.73:5140
哈哈炫动,http://t.junzhewenming.top:8888/udp/233.50.201.74:5140
中国教育一套,http://t.junzhewenming.top:8888/udp/233.50.201.75:5140
中国教育四套,http://t.junzhewenming.top:8888/udp/233.50.201.172:5140
CGTN,http://t.junzhewenming.top:8888/udp/233.50.201.126:5140
CGTN-西班牙语,http://t.junzhewenming.top:8888/udp/233.50.201.36:5140
CGTN-法语,http://t.junzhewenming.top:8888/udp/233.50.201.37:5140
CGTN-阿拉伯语,http://t.junzhewenming.top:8888/udp/233.50.201.38:5140
CGTN-俄语,http://t.junzhewenming.top:8888/udp/233.50.201.39:5140

优优宝贝,http://t.junzhewenming.top:8888/udp/233.50.202.24:5140
